iter	Passed	Remaining
406	6858	9992
407	6874	9974
408	6888	9953
409	6903	9934
410	6919	9916
411	6934	9896
412	6950	9878
413	6966	9860
414	6983	9843
415	6998	9824
416	7013	9805
417	7030	9789
418	7051	9778
419	7070	9764
420	7087	9747
421	7105	9732
422	7121	9713
423	7136	9695
424	7155	9681
425	7174	9666
426	7190	9649
427	7208	9633
428	7224	9615
429	7239	9595
430	7257	9581
431	7282	9575
432	7299	9558
433	7315	9541
434	7334	9526
435	7352	9510
436	7371	9496
437	7386	9478
438	7404	9462
439	7420	9444
440	7437	9427
441	7455	9411
442	7479	9404
443	7496	9388
444	7511	9367
445	7527	9350
446	7544	9333
447	7562	9317
448	7576	9297
449	7592	9280
450	7610	9263
451	7629	9249
452	7646	9232
453	7660	9212
454	7679	9198
455	7701	9187
456	7717	9170
457	7735	9153
458	7754	9139
459	7771	9123
460	7787	9105
461	7803	9086
462	7817	9067
463	7835	9051
464	7853	9036
465	7867	9015
466	7884	8998
467	7905	8986
468	7923	8970
469	7941	8955
470	7956	8936
471	7972	8918
472	7988	8900
473	8003	8881
474	8020	8864
475	8038	8848
476	8053	8830
477	8069	8812
478	8086	8795
479	8108	8783
480	8125	8767
481	8140	8748
482	8156	8731
483	8173	8713
484	8191	8697
485	8207	8680
486	8223	8662
487	8240	8646
488	8256	8627
489	8274	8611
490	8294	8599
491	8315	8586
492	8333	8569
493	8351	8554
494	8367	8536
495	8383	8518
496	8398	8499
497	8415	8482
498	8430	8464
499	8445	8445
500	8462	8428
501	8478	8410
502	8493	8391
503	8515	8380
504	8530	8361
505	8548	8345
506	8566	8329
507	8581	8311
508	8598	8293
509	8613	8275
510	8630	8259
511	8646	8241
512	8662	8223
513	8677	8205
514	8694	8187
515	8710	8170
516	8730	8156
517	8746	8138
518	8764	8122
519	8780	8104
520	8795	8086
521	8810	8067
522	8827	8051
523	8842	8032
524	8858	8015
525	8874	7997
526	8889	7978
527	8905	7960
528	8921	7943
529	8936	7925
530	8958	7912
531	8975	7895
532	8993	7879
533	9010	7862
534	9026	7845
535	9042	7827
536	9058	7810
537	9073	7791
538	9087	7772
539	9102	7754
540	9121	7738
541	9138	7722
542	9154	7704
543	9173	7689
544	9192	7674
545	9208	7656
546	9225	7639
547	9241	7622
548	9258	7606
549	9275	7589
550	9292	7572
551	9309	7555
552	9326	7538
553	9342	7521
554	9360	7505
555	9377	7488
556	9399	7476
557	9418	7460
558	9437	7445
559	9454	7428
560	9471	7411
561	9487	7394
562	9504	7377
563	9519	7359
564	9536	7342
565	9553	7325
566	9569	7307
567	9584	7289
568	9602	7273
569	9624	7260
570	9640	7242
571	9658	7227
572	9674	7209
573	9692	7193
574	9707	7174
575	9722	7157
576	9738	7139
577	9753	7121
578	9770	7104
579	9786	7086
580	9804	7070
581	9823	7055
582	9844	7041
583	9862	7024
584	9879	7008
585	9894	6990
586	9910	6972
587	9925	6954
588	9941	6937
589	9956	6919
590	9974	6902
591	9988	6884
592	10006	6868
593	10024	6851
594	10045	6837
595	10066	6823
596	10083	6806
597	10099	6789
598	10114	6771
599	10131	6754
600	10145	6735
601	10163	6719
602	10178	6701
603	10195	6684
604	10212	6667
605	10229	6651
606	10246	6634
607	10270	6621
608	10288	6605
609	10306	6589
610	10321	6571
611	10339	6555
612	10356	6537
613	10372	6520
614	10387	6502
615	10404	6486
616	10423	6470
617	10439	6453
618	10459	6437
619	10479	6423
620	10498	6407
621	10514	6389
622	10530	6372
623	10544	6354
624	10563	6337
625	10580	6321
626	10597	6304
627	10615	6288
628	10631	6270
629	10648	6253
630	10669	6239
631	10691	6225
632	10706	6207
633	10723	6190
634	10740	6173
635	10756	6156
636	10772	6138
637	10788	6121
638	10805	6104
639	10820	6086
640	10836	6069
641	10851	6051
642	10868	6034
643	10887	6018
644	10906	6002
645	10923	5985
646	10940	5969
647	10956	5951
648	10972	5934
649	10986	5916
650	11002	5898
651	11019	5881
652	11034	5863
653	11050	5846
654	11066	5828
655	11081	5811
656	11103	5796
657	11121	5780
658	11135	5761
659	11152	5745
660	11169	5728
661	11186	5711
662	11202	5694
663	11218	5676
664	11235	5659
665	11251	5642
666	11267	5625
667	11283	5607
668	11300	5591
669	11321	5576
670	11338	5559
671	11355	5542
672	11373	5526
673	11389	5508
674	11408	5492
675	11425	5475
676	11441	5458
677	11458	5441
678	11475	5425
679	11491	5407
680	11511	5392
681	11531	5376
682	11547	5359
683	11564	5342
684	11580	5325
685	11596	5307
686	11612	5290
687	11630	5274
688	11645	5256
689	11660	5238
690	11676	5221
691	11693	5204
692	11709	5187
693	11731	5172
694	11747	5155
695	11765	5138
696	11780	5121
697	11796	5103
698	11814	5087
699	11830	5070
700	11846	5052
701	11862	5035
702	11878	5018
703	11896	5001
704	11911	4984
705	11929	4967
706	11950	4952
707	11970	4936
708	11989	4921
709	12006	4904
710	12022	4886
711	12038	4869
712	12054	4852
713	12071	4835
714	12087	4817
715	12104	4801
716	12118	4783
717	12135	4766
718	12152	4749
719	12175	4735
720	12193	4718
721	12210	4701
722	12227	4684
723	12242	4667
724	12260	4650
725	12276	4633
726	12291	4615
727	12308	4598
728	12323	4581
729	12338	4563
730	12353	4545
731	12368	4528
732	12387	4512
733	12410	4497
734	12428	4480
735	12443	4463
736	12460	4446
737	12478	4430
738	12493	4412
739	12509	4395
740	12526	4378
741	12543	4361
742	12560	4344
743	12575	4327
744	12593	4310
745	12615	4295
746	12634	4279
747	12651	4262
748	12667	4245
749	12682	4227
750	12699	4210
751	12716	4193
752	12733	4176
753	12750	4159
754	12765	4142
755	12781	4125
756	12797	4108
757	12813	4090
758	12835	4075
759	12855	4059
760	12872	4042
761	12891	4026
762	12906	4008
763	12920	3991
764	12936	3974
765	12954	3957
766	12969	3940
767	12984	3922
768	13000	3905
769	13015	3887
770	13031	3870
771	13054	3855
772	13074	3839
773	13089	3822
774	13106	3805
775	13123	3788
776	13139	3771
777	13156	3754
778	13172	3737
779	13187	3719
780	13204	3702
781	13221	3685
782	13237	3668
783	13259	3653
